央视IPV6,#genre#
CCTV-11戏曲,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8
CCTV-13新闻,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV-13新闻,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13新闻,https://stream1.freetv.fun/45f42d1a050cf53e2d50d82e9c5091876cc2c2a46d16ada78a48b171e214bba7.m3u8
CCTV-14少儿,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV-14少儿,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-15音乐,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV-1综合,http://116.237.37.244:8888/rtp/239.45.3.145:5140
CCTV-1综合,http://116.237.37.244:8888/rtp/239.45.1.21:5140
CCTV-1综合,http://112.254.55.106:22222/rtp/239.253.254.77:8000
CCTV-2财经,http://116.237.37.244:8888/rtp/239.45.3.208:5140
CCTV-4中文国际,http://116.237.37.244:8888/rtp/239.45.0.2:5140
CCTV-4中文国际,http://112.254.55.106:22222/rtp/239.253.254.111:8000
CCTV-4中文国际,http://112.254.55.106:22222/rtp/239.253.254.186:8000
CCTV-6电影,http://112.254.55.106:22222/rtp/239.253.254.193:8000
CCTV-7国防军事,http://112.254.55.106:22222/rtp/239.253.254.233:8000
CCTV-8电视剧,http://111.199.0.19:4022/rtp/239.3.1.175:8001
CCTV-9纪录,http://116.237.37.244:8888/rtp/239.45.3.4:5140
CCTV-12社会与法,http://116.237.37.244:8888/rtp/239.45.3.124:5140
CCTV-13新闻,http://112.254.55.106:22222/rtp/239.253.254.175:8000
CCTV-13新闻,http://116.237.37.244:8888/rtp/239.45.0.19:5140
CCTV-14少儿,http://116.237.37.244:8888/rtp/239.45.3.125:5140
CCTV-14少儿,http://112.254.55.106:22222/rtp/239.253.254.236:8000
CCTV-15音乐,http://112.254.55.106:22222/rtp/239.253.254.170:8000
CCTV-15音乐,http://116.237.37.244:8888/rtp/239.45.3.126:5140
CCTV-16奥林匹克,http://116.237.37.244:8888/rtp/239.45.0.10:5140
CCTV-17农业农村,http://116.237.37.244:8888/rtp/239.45.3.251:5140
CETV-早期教育,http://116.237.37.244:8888/rtp/239.45.0.54:5140
CETV-中国教育4,http://116.237.37.244:8888/rtp/239.45.0.21:5140
CCTV-第一剧场,http://116.237.37.244:8888/rtp/239.45.0.51:5140
CCTV-游戏风云,http://116.237.37.244:8888/rtp/239.45.3.131:5140
CCTV-风云音乐,http://116.237.37.244:8888/rtp/239.45.0.52:5140
CCTV-世界地理,http://116.237.37.244:8888/rtp/239.45.0.46:5140
CCTV-高尔夫网球,http://116.237.37.244:8888/rtp/239.45.0.48:5140
CGTN-新闻,http://112.254.55.106:22222/rtp/239.253.254.185:8000
卫视频道,#genre#
凤凰中文,http://218.104.239.114:9901/tsfile/live/1013_1.m3u8?key=txiptv
凤凰资讯,http://218.104.239.114:9901/tsfile/live/1012_1.m3u8?key=txiptv
广东卫视,http://183.215.134.239:19901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
深圳卫视,http://183.215.134.239:19901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://yncbn.ks-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
大湾区卫视,https://stream1.freetv.fun/da-wan-qu-wei-shi-19.m3u8
北京卫视,http://183.215.134.239:19901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://183.215.134.239:19901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
湖南卫视,https://stream1.freetv.fun/hu-nan-wei-shi-49.m3u8
江苏卫视,https://svipsvip.ffzyread1.com/20250101/34720_0d5e4b60/index.m3u8
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
东方卫视,http://183.215.134.239:19901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://112.27.235.94:8000/hls/28/index.m3u8
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广西卫视,https://stream1.freetv.fun/yan-xi-wei-shi-74.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
